A,4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10
B,1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7
C,2,8,3,5,1,8,13,0,6,6,10,8,0,8,0,8
D,4,11,6,8,6,10,6,2,6,10,3,7,3,7,3,9
E,3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8
F,6,9,5,4,3,10,6,3,5,10,5,7,3,9,6,9
G,2,1,3,1,1,8,6,6,6,6,5,9,1,7,5,10
H,4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8
I,5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10
J,2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7
K,7,12,6,6,3,7,8,2,7,9,7,8,5,8,3,7
L,2,3,3,4,1,0,1,5,6,0,0,6,0,8,0,8
M,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6
N,7,11,6,6,3,5,9,4,6,4,4,10,6,10,2,8
O,3,4,4,3,2,8,7,7,5,7,6,8,2,8,3,8
P,3,6,4,4,2,4,14,8,1,11,6,3,0,10,4,8
Q,6,9,7,11,7,8,5,7,5,9,6,9,3,8,6,8
R,5,9,5,7,6,6,11,7,3,7,3,9,2,7,5,11
S,4,11,5,8,3,8,8,6,9,5,6,6,0,8,9,7
T,2,8,3,5,1,8,13,0,6,6,10,8,0,8,0,8
U,4,7,4,5,2,7,5,13,5,7,14,7,3,9,0,8
V,7,9,6,5,2,8,10,4,5,8,10,5,4,12,3,8
W,12,14,12,8,5,9,10,4,3,5,10,7,10,12,2,6
X,3,9,5,7,4,8,7,3,8,5,6,8,2,8,6,7
Y,7,11,9,8,8,9,5,6,4,7,8,8,3,9,8,3
Z,3,7,5,5,3,7,8,2,9,11,7,7,1,8,6,7
A,4,2,5,4,4,8,7,6,6,7,6,6,2,8,7,10
B,1,1,3,2,1,8,2,2,2,8,2,8,1,6,2,7
C,2,8,3,5,1,8,13,0,6,6,10,8,0,8,0,8
D,4,11,6,8,6,10,6,2,6,10,3,7,3,7,3,9
E,3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8
F,6,9,5,4,3,10,6,3,5,10,5,7,3,9,6,9
G,2,1,3,1,1,8,6,6,6,6,5,9,1,7,5,10
H,4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8
I,5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10
J,2,2,3,3,1,10,6,3,6,12,4,9,0,7,1,7
K,7,12,6,6,3,7,8,2,7,9,7,8,5,8,3,7
L,2,3,3,4,1,0,1,5,6,0,0,6,0,8,0,8
M,6,9,8,6,9,7,8,6,5,7,5,8,8,9,8,6
